"Quadrat","Site","Year","PlantGenusSpecies","SampleRound","FloralAbundance","FloweringPlantAbundance","KeyQuad"
"E1","JC","2018","Campanula rotundifolia",1,5,1,"JC E1 2018 1"
"E1","JC","2018","Campanula rotundifolia",2,5,4,"JC E1 2018 2"
"E1","JC","2018","Eremogone fendleri",2,50,5,"JC E1 2018 2"
"E1","JC","2018","Erigeron tracyi",1,5,1,"JC E1 2018 1"
"E1","JC","2018","Erigeron tracyi",2,5,1,"JC E1 2018 2"
"E1","JC","2021","Campanula rotundifolia",2,3,2,"JC E1 2021 2"
"E1","JC","2021","Eremogone fendleri",1,2,1,"JC E1 2021 1"
"E1","JC","2021","Erigeron tracyi",2,3,3,"JC E1 2021 2"
"E1","MM","2012","Erigeron formosissimus",1,23,23,"MM E1 2012 1"
"E1","MM","2012","Hymenopappus newberryi",1,14,14,"MM E1 2012 1"
"E1","MM","2012","Vicia pulchella",1,53,53,"MM E1 2012 1"
"E1","MM","2017","Cymopterus lemmonii",1,50,1,"MM E1 2017 1"
"E1","MM","2017","Potentilla hippiana",2,5,4,"MM E1 2017 2"
"E1","MM","2017","Potentilla hippiana",3,50,9,"MM E1 2017 3"
"E1","MM","2018","Campanula rotundifolia",1,5,5,"MM E1 2018 1"
"E1","MM","2018","Campanula rotundifolia",2,5,3,"MM E1 2018 2"
"E1","MM","2018","Commelina dianthifolia",2,5,2,"MM E1 2018 2"
"E1","MM","2018","Cymopterus lemmonii",1,50,8,"MM E1 2018 1"
"E1","MM","2018","Cymopterus lemmonii",2,50,2,"MM E1 2018 2"
"E1","MM","2018","Erigeron formosissimus",1,5,6,"MM E1 2018 1"
"E1","MM","2018","Erigeron formosissimus",2,5,2,"MM E1 2018 2"
"E1","MM","2018","Erigeron tracyi",1,5,9,"MM E1 2018 1"
"E1","MM","2018","Hymenopappus newberryi",1,50,2,"MM E1 2018 1"
"E1","MM","2018","Hymenopappus newberryi",2,5,1,"MM E1 2018 2"
"E1","MM","2018","Linum lewisii",2,50,1,"MM E1 2018 2"
"E1","MM","2018","Monardella odoratissima",2,5,4,"MM E1 2018 2"
"E1","MM","2018","Potentilla hippiana",1,5,10,"MM E1 2018 1"
"E1","MM","2018","Potentilla hippiana",2,50,3,"MM E1 2018 2"
"E1","MM","2018","Silene scouleri",2,5,1,"MM E1 2018 2"
"E1","MM","2018","Vicia pulchella",2,50,5,"MM E1 2018 2"
"E1","MM","2021","Campanula rotundifolia",1,2,2,"MM E1 2021 1"
"E1","MM","2021","Gentiana affinis",2,24,2,"MM E1 2021 2"
"E1","MM","2022","Cerastium nutans",1,2,3,"MM E1 2022 1"
"E1","MM","2022","Cymopterus lemmonii",1,14,9,"MM E1 2022 1"
"E1","MM","2022","Potentilla hippiana",1,4,14,"MM E1 2022 1"
"E1","PL","2018","Drymaria leptophylla",1,50,5,"PL E1 2018 1"
"E1","PL","2018","Geranium richardsonii",2,5,1,"PL E1 2018 2"
"E1","PL","2018","Laennecia schiedeana",2,50,2,"PL E1 2018 2"
"E1","PL","2021","Achillea millefolium",2,2,1,"PL E1 2021 2"
"E1","PL","2022","Cerastium nutans",1,26,3,"PL E1 2022 1"
"E1","PL","2022","Erysimum capitatum",1,4,2,"PL E1 2022 1"
"E1","RP","2022","Cerastium nutans",1,5,1,"RP E1 2022 1"
"E1","RP","2022","Trifolium pinetorum",1,1,1,"RP E1 2022 1"
"E1","SC","2012","Eremogone fendleri",1,2,2,"SC E1 2012 1"
"E1","SC","2017","Cymopterus lemmonii",2,50,7,"SC E1 2017 2"
"E1","SC","2017","Erigeron subtrinervis",3,5,4,"SC E1 2017 3"
"E1","SC","2017","Potentilla hippiana",2,5,2,"SC E1 2017 2"
"E1","SC","2017","Potentilla hippiana",3,5,1,"SC E1 2017 3"
"E1","SC","2018","Achillea millefolium",1,50,1,"SC E1 2018 1"
"E1","SC","2018","Erigeron formosissimus",2,5,1,"SC E1 2018 2"
"E1","SC","2018","Hymenoxys richardsonii",1,50,2,"SC E1 2018 1"
"E1","SC","2021","Campanula rotundifolia",2,1,1,"SC E1 2021 2"
"E1","SC","2021","Cymopterus lemmonii",1,14,7,"SC E1 2021 1"
"E1","SC","2021","Cymopterus lemmonii",2,2,2,"SC E1 2021 2"
"E1","SC","2021","Potentilla hippiana",2,4,3,"SC E1 2021 2"
"E1","SC","2022","Campanula rotundifolia",1,1,6,"SC E1 2022 1"
"E1","SC","2022","Cymopterus lemmonii",1,1,1,"SC E1 2022 1"
"E1","SC","2022","Potentilla hippiana",1,2,8,"SC E1 2022 1"
"E1","SC","2022","Townsendia grandiflora",1,1,1,"SC E1 2022 1"
"E1","SM","2017","Arenaria lanuginosa",1,5,2,"SM E1 2017 1"
"E1","SM","2017","Erigeron flagellaris",1,5,5,"SM E1 2017 1"
"E1","SM","2018","Erigeron tracyi",1,50,15,"SM E1 2018 1"
"E1","SM","2018","Penstemon pseudoparvus",2,50,6,"SM E1 2018 2"
"E1","SM","2021","Arenaria lanuginosa",2,3,1,"SM E1 2021 2"
"E1","SM","2021","Cymopterus lemmonii",1,1,1,"SM E1 2021 1"
"E1","SM","2021","Packera fendleri",1,1,1,"SM E1 2021 1"
"E1","SM","2022","Campanula rotundifolia",1,1,2,"SM E1 2022 1"
"E1","SM","2022","Erigeron flagellaris",1,14,9,"SM E1 2022 1"
"E1","SM","2022","Ipomopsis aggregata",1,21,1,"SM E1 2022 1"
"E1","SS","2017","Hymenoxys hoopesii",1,50,2,"SS E1 2017 1"
"E1","UK","2017","Trifolium pinetorum",1,50,25,"UK E1 2017 1"
"E1","VC","2017","Achillea millefolium",1,50,2,"VC E1 2017 1"
"E1","VC","2017","Erigeron formosissimus",1,5,2,"VC E1 2017 1"
"E2","CH","2012","Glandularia bipinnatifida",1,4,4,"CH E2 2012 1"
"E2","CH","2022","Cosmos parviflorus",1,8,7,"CH E2 2022 1"
"E2","CH","2022","Glandularia bipinnatifida",1,36,4,"CH E2 2022 1"
"E2","CH","2022","Houstonia wrightii",1,24,10,"CH E2 2022 1"
"E2","CH","2022","Oenothera elata",1,1,2,"CH E2 2022 1"
"E2","HM","2017","Cymopterus lemmonii",1,50,2,"HM E2 2017 1"
"E2","HM","2017","Cymopterus lemmonii",2,100,3,"HM E2 2017 2"
"E2","HM","2017","Geranium richardsonii",3,5,2,"HM E2 2017 3"
"E2","HM","2017","Hymenoxys hoopesii",1,50,14,"HM E2 2017 1"
"E2","HM","2017","Hymenoxys hoopesii",2,100,16,"HM E2 2017 2"
"E2","HM","2017","Hymenoxys hoopesii",3,50,2,"HM E2 2017 3"
"E2","HM","2017","Lupinus palmeri",2,50,1,"HM E2 2017 2"
"E2","HM","2017","Lupinus palmeri",3,50,4,"HM E2 2017 3"
"E2","HM","2018","Erigeron tracyi",2,5,1,"HM E2 2018 2"
"E2","HM","2018","Gentiana parryi",2,5,1,"HM E2 2018 2"
"E2","HM","2018","Potentilla hippiana",1,5,1,"HM E2 2018 1"
"E2","HM","2021","Erigeron flagellaris",1,1,1,"HM E2 2021 1"
"E2","HM","2021","Erigeron tracyi",2,1,1,"HM E2 2021 2"
"E2","HM","2021","Lupinus palmeri",1,56,3,"HM E2 2021 1"
"E2","HM","2021","Lupinus palmeri",2,7,1,"HM E2 2021 2"
"E2","HM","2022","Hymenoxys hoopesii",1,22,4,"HM E2 2022 1"
"E2","HM","2022","Lupinus palmeri",1,140,6,"HM E2 2022 1"
"E2","JC","2012","Achillea millefolium",1,10,10,"JC E2 2012 1"
"E2","JC","2012","Campanula rotundifolia",1,17,17,"JC E2 2012 1"
"E2","JC","2012","Erigeron subtrinervis",1,6,6,"JC E2 2012 1"
"E2","JC","2012","Penstemon barbatus",1,4,4,"JC E2 2012 1"
"E2","JC","2012","Potentilla hippiana",1,12,12,"JC E2 2012 1"
"E2","JC","2017","Allium geyeri",2,50,1,"JC E2 2017 2"
"E2","JC","2017","Cymopterus lemmonii",1,5,1,"JC E2 2017 1"
"E2","JC","2017","Cymopterus lemmonii",2,50,1,"JC E2 2017 2"
"E2","JC","2017","Eremogone fendleri",1,50,12,"JC E2 2017 1"
"E2","JC","2017","Eremogone fendleri",2,50,6,"JC E2 2017 2"
"E2","JC","2017","Eremogone fendleri",3,50,5,"JC E2 2017 3"
"E2","JC","2017","Erigeron flagellaris",1,5,1,"JC E2 2017 1"
"E2","JC","2017","Erigeron subtrinervis",3,50,1,"JC E2 2017 3"
"E2","JC","2017","Potentilla hippiana",2,5,2,"JC E2 2017 2"
"E2","JC","2017","Vicia pulchella",1,5,4,"JC E2 2017 1"
"E2","JC","2018","Allium geyeri",2,50,1,"JC E2 2018 2"
"E2","JC","2018","Campanula rotundifolia",1,50,12,"JC E2 2018 1"
"E2","JC","2018","Eremogone fendleri",1,50,7,"JC E2 2018 1"
"E2","JC","2018","Potentilla fruticosa",1,5,1,"JC E2 2018 1"
"E2","JC","2018","Potentilla fruticosa",2,5,1,"JC E2 2018 2"
"E2","JC","2018","Tragopogon pratensis",2,5,1,"JC E2 2018 2"
"E2","JC","2021","Eremogone fendleri",1,6,1,"JC E2 2021 1"
"E2","JC","2021","Eremogone fendleri",2,2,1,"JC E2 2021 2"
"E2","JC","2021","Erigeron tracyi",1,2,2,"JC E2 2021 1"
"E2","JC","2021","Erigeron tracyi",2,1,1,"JC E2 2021 2"
"E2","JC","2021","Potentilla hippiana",1,9,3,"JC E2 2021 1"
"E2","JC","2021","Potentilla hippiana",2,4,1,"JC E2 2021 2"
"E2","MM","2012","Allium cernuum",1,1,1,"MM E2 2012 1"
"E2","MM","2012","Heterotheca pumila",1,4,4,"MM E2 2012 1"
"E2","MM","2012","Potentilla hippiana",1,1,1,"MM E2 2012 1"
"E2","MM","2012","Vicia pulchella",1,3,3,"MM E2 2012 1"
"E2","MM","2017","Allium cernuum",2,50,3,"MM E2 2017 2"
"E2","MM","2017","Cymopterus lemmonii",1,50,4,"MM E2 2017 1"
"E2","MM","2017","Hymenopappus newberryi",2,5,1,"MM E2 2017 2"
"E2","MM","2017","Hymenopappus newberryi",3,50,1,"MM E2 2017 3"
"E2","MM","2017","Vicia pulchella",3,50,3,"MM E2 2017 3"
"E2","MM","2018","Erigeron formosissimus",1,5,1,"MM E2 2018 1"
"E2","MM","2018","Potentilla hippiana",1,5,1,"MM E2 2018 1"
"E2","MM","2018","Vicia pulchella",1,50,8,"MM E2 2018 1"
"E2","MM","2018","Vicia pulchella",2,50,3,"MM E2 2018 2"
"E2","MM","2021","Cirsium neomexicanum",2,1,1,"MM E2 2021 2"
"E2","MM","2021","Erigeron flagellaris",1,4,2,"MM E2 2021 1"
"E2","MM","2021","Erysimum capitatum",1,5,1,"MM E2 2021 1"
"E2","MM","2021","Vicia pulchella",1,6,2,"MM E2 2021 1"
"E2","PL","2012","Gentianopsis detonsa",1,2,2,"PL E2 2012 1"
"E2","PL","2012","Prunella vulgaris",1,1,1,"PL E2 2012 1"
"E2","PL","2018","Drymaria leptophylla",1,50,1,"PL E2 2018 1"
"E2","PL","2021","Glandularia bipinnatifida",1,30,1,"PL E2 2021 1"
"E2","RP","2018","Drymaria leptophylla",1,5,5,"RP E2 2018 1"
"E2","RP","2018","Trifolium pinetorum",1,5,1,"RP E2 2018 1"
"E2","RP","2022","Cerastium nutans",1,25,3,"RP E2 2022 1"
"E2","SC","2012","Campanula rotundifolia",1,1,1,"SC E2 2012 1"
"E2","SC","2012","Cymopterus lemmonii",1,2,2,"SC E2 2012 1"
"E2","SC","2012","Potentilla hippiana",1,1,1,"SC E2 2012 1"
"E2","SC","2017","Achillea millefolium",3,50,1,"SC E2 2017 3"
"E2","SC","2017","Cymopterus lemmonii",1,50,5,"SC E2 2017 1"
"E2","SC","2017","Eremogone fendleri",1,5,2,"SC E2 2017 1"
"E2","SC","2017","Eremogone fendleri",2,5,1,"SC E2 2017 2"
"E2","SC","2017","Eremogone fendleri",3,5,2,"SC E2 2017 3"
"E2","SC","2017","Erigeron subtrinervis",3,5,1,"SC E2 2017 3"
"E2","SC","2017","Erysimum capitatum",1,5,1,"SC E2 2017 1"
"E2","SC","2017","Potentilla hippiana",3,5,1,"SC E2 2017 3"
"E2","SC","2018","Achillea millefolium",1,5,1,"SC E2 2018 1"
"E2","SC","2018","Eremogone fendleri",1,50,2,"SC E2 2018 1"
"E2","SC","2018","Erigeron flagellaris",1,5,2,"SC E2 2018 1"
"E2","SC","2018","Erigeron tracyi",2,5,1,"SC E2 2018 2"
"E2","SC","2018","Hymenoxys richardsonii",1,50,5,"SC E2 2018 1"
"E2","SC","2018","Potentilla hippiana",1,5,5,"SC E2 2018 1"
"E2","SC","2018","Potentilla hippiana",2,50,1,"SC E2 2018 2"
"E2","SC","2018","Tragopogon pratensis",2,5,1,"SC E2 2018 2"
"E2","SC","2021","Cymopterus lemmonii",1,7,3,"SC E2 2021 1"
"E2","SC","2021","Cymopterus lemmonii",2,5,4,"SC E2 2021 2"
"E2","SC","2021","Eremogone fendleri",1,9,1,"SC E2 2021 1"
"E2","SC","2021","Eremogone fendleri",2,29,7,"SC E2 2021 2"
"E2","SC","2021","Erigeron flagellaris",1,1,1,"SC E2 2021 1"
"E2","SC","2021","Erigeron flagellaris",2,5,5,"SC E2 2021 2"
"E2","SC","2022","Achillea millefolium",1,1,1,"SC E2 2022 1"
"E2","SC","2022","Erigeron tracyi",1,2,3,"SC E2 2022 1"
"E2","SC","2022","Penstemon pseudoparvus",1,1,1,"SC E2 2022 1"
"E2","SC","2022","Potentilla hippiana",1,1,1,"SC E2 2022 1"
"E2","SM","2017","Cymopterus lemmonii",1,50,9,"SM E2 2017 1"
"E2","SM","2017","Lupinus palmeri",1,50,1,"SM E2 2017 1"
"E2","SM","2018","Campanula rotundifolia",1,50,6,"SM E2 2018 1"
"E2","SM","2021","Potentilla hippiana",1,3,2,"SM E2 2021 1"
"E2","SM","2022","Campanula rotundifolia",1,1,2,"SM E2 2022 1"
"E2","SM","2022","Lupinus palmeri",1,12,1,"SM E2 2022 1"
"E2","SS","2017","Achillea millefolium",1,50,1,"SS E2 2017 1"
"E2","SS","2017","Hymenoxys hoopesii",1,50,6,"SS E2 2017 1"
"E3","CH","2012","Arenaria lanuginosa",1,9,9,"CH E3 2012 1"
"E3","CH","2012","Psacalium decompositum",1,23,23,"CH E3 2012 1"
"E3","CH","2012","Trifolium pinetorum",1,95,95,"CH E3 2012 1"
"E3","CH","2018","Drymaria leptophylla",1,5,1,"CH E3 2018 1"
"E3","CH","2018","Drymaria leptophylla",2,50,1,"CH E3 2018 2"
"E3","CH","2018","Glandularia bipinnatifida",1,150,5,"CH E3 2018 1"
"E3","CH","2018","Glandularia bipinnatifida",2,50,2,"CH E3 2018 2"
"E3","CH","2022","Castilleja patriotica",1,14,1,"CH E3 2022 1"
"E3","HM","2017","Erigeron arizonicus",2,5,2,"HM E3 2017 2"
"E3","HM","2017","Erigeron flagellaris",1,5,5,"HM E3 2017 1"
"E3","HM","2017","Erigeron flagellaris",2,5,5,"HM E3 2017 2"
"E3","HM","2017","Erigeron subtrinervis",3,5,1,"HM E3 2017 3"
"E3","HM","2017","Lupinus palmeri",3,50,1,"HM E3 2017 3"
"E3","HM","2018","Erigeron tracyi",1,50,10,"HM E3 2018 1"
"E3","HM","2018","Erigeron tracyi",2,5,10,"HM E3 2018 2"
"E3","HM","2018","Lupinus palmeri",1,50,1,"HM E3 2018 1"
"E3","HM","2018","Potentilla hippiana",1,5,1,"HM E3 2018 1"
"E3","HM","2018","Taraxacum officinale",2,5,1,"HM E3 2018 2"
"E3","HM","2018","Verbascum thapsus",2,50,1,"HM E3 2018 2"
"E3","HM","2021","Erigeron tracyi",1,5,5,"HM E3 2021 1"
"E3","HM","2021","Lupinus palmeri",1,30,1,"HM E3 2021 1"
"E3","HM","2021","Taraxacum officinale",2,2,2,"HM E3 2021 2"
"E3","JC","2012","Campanula rotundifolia",1,8,8,"JC E3 2012 1"
"E3","JC","2012","Erigeron subtrinervis",1,2,2,"JC E3 2012 1"
"E3","JC","2012","Hymenopappus newberryi",1,9,9,"JC E3 2012 1"
"E3","JC","2012","Potentilla hippiana",1,8,8,"JC E3 2012 1"
"E3","JC","2012","Tragopogon pratensis",1,1,1,"JC E3 2012 1"
"E3","JC","2017","Achillea millefolium",3,50,4,"JC E3 2017 3"
"E3","JC","2017","Campanula rotundifolia",2,5,6,"JC E3 2017 2"
"E3","JC","2017","Campanula rotundifolia",3,5,5,"JC E3 2017 3"
"E3","JC","2017","Castilleja miniata",1,5,2,"JC E3 2017 1"
"E3","JC","2017","Castilleja miniata",2,5,1,"JC E3 2017 2"
"E3","JC","2017","Cymopterus lemmonii",1,5,1,"JC E3 2017 1"
"E3","JC","2017","Cymopterus lemmonii",2,50,1,"JC E3 2017 2"
"E3","JC","2017","Erigeron flagellaris",1,50,40,"JC E3 2017 1"
"E3","JC","2017","Erigeron flagellaris",2,5,4,"JC E3 2017 2"
"E3","JC","2017","Erigeron subtrinervis",2,5,1,"JC E3 2017 2"
"E3","JC","2017","Potentilla hippiana",2,5,6,"JC E3 2017 2"
"E3","JC","2017","Potentilla hippiana",3,5,3,"JC E3 2017 3"
"E3","JC","2018","Campanula rotundifolia",1,5,8,"JC E3 2018 1"
"E3","JC","2018","Castilleja miniata",1,5,1,"JC E3 2018 1"
"E3","JC","2018","Erigeron tracyi",1,50,14,"JC E3 2018 1"
"E3","JC","2018","Erigeron tracyi",2,5,9,"JC E3 2018 2"
"E3","JC","2021","Allium cernuum",1,2,2,"JC E3 2021 1"
"E3","JC","2021","Erigeron subtrinervis",2,2,2,"JC E3 2021 2"
"E3","JC","2021","Potentilla hippiana",1,9,4,"JC E3 2021 1"
"E3","JC","2021","Potentilla hippiana",2,1,1,"JC E3 2021 2"
"E3","MM","2012","Phacelia heterophylla",1,33,33,"MM E3 2012 1"
"E3","MM","2017","Castilleja miniata",2,5,1,"MM E3 2017 2"
"E3","MM","2017","Castilleja miniata",3,5,1,"MM E3 2017 3"
"E3","MM","2017","Monardella odoratissima",3,50,1,"MM E3 2017 3"
"E3","MM","2017","Vicia pulchella",3,50,1,"MM E3 2017 3"
"E3","MM","2018","Allium cernuum",1,50,9,"MM E3 2018 1"
"E3","MM","2018","Erigeron tracyi",1,50,10,"MM E3 2018 1"
"E3","MM","2018","Linum lewisii",1,5,5,"MM E3 2018 1"
"E3","MM","2018","Lupinus palmeri",1,50,1,"MM E3 2018 1"
"E3","MM","2018","Monardella odoratissima",1,50,11,"MM E3 2018 1"
"E3","MM","2018","Potentilla hippiana",1,5,1,"MM E3 2018 1"
"E3","MM","2021","Erigeron flagellaris",1,3,1,"MM E3 2021 1"
"E3","MM","2021","Erigeron speciosus",2,2,3,"MM E3 2021 2"
"E3","MM","2021","Hymenopappus newberryi",2,2,1,"MM E3 2021 2"
"E3","MM","2021","Monardella odoratissima",1,2,1,"MM E3 2021 1"
"E3","MM","2021","Monardella odoratissima",2,15,3,"MM E3 2021 2"
"E3","MM","2021","Silene scouleri",1,9,1,"MM E3 2021 1"
"E3","MM","2022","Vicia pulchella",1,2,2,"MM E3 2022 1"
"E3","PL","2012","Oxypolis fendleri",1,6,6,"PL E3 2012 1"
"E3","PL","2021","Hymenoxys hoopesii",1,11,2,"PL E3 2021 1"
"E3","PL","2021","Hymenoxys hoopesii",2,8,2,"PL E3 2021 2"
"E3","PL","2022","Glandularia bipinnatifida",1,15,1,"PL E3 2022 1"
"E3","RP","2018","Glandularia bipinnatifida",1,5,1,"RP E3 2018 1"
"E3","RP","2021","Glandularia bipinnatifida",1,64,1,"RP E3 2021 1"
"E3","RP","2021","Glandularia bipinnatifida",2,65,3,"RP E3 2021 2"
"E3","RP","2022","Glandularia bipinnatifida",1,19,1,"RP E3 2022 1"
"E3","SC","2012","Campanula rotundifolia",1,3,3,"SC E3 2012 1"
"E3","SC","2012","Cymopterus lemmonii",1,5,5,"SC E3 2012 1"
"E3","SC","2012","Erigeron subtrinervis",1,11,11,"SC E3 2012 1"
"E3","SC","2017","Campanula rotundifolia",3,5,1,"SC E3 2017 3"
"E3","SC","2017","Cymopterus lemmonii",2,50,3,"SC E3 2017 2"
"E3","SC","2017","Eremogone fendleri",3,50,1,"SC E3 2017 3"
"E3","SC","2017","Erigeron flagellaris",1,5,3,"SC E3 2017 1"
"E3","SC","2017","Erigeron subtrinervis",3,5,1,"SC E3 2017 3"
"E3","SC","2017","Potentilla hippiana",2,5,1,"SC E3 2017 2"
"E3","SC","2017","Potentilla hippiana",3,5,3,"SC E3 2017 3"
"E3","SC","2018","Hymenoxys richardsonii",1,50,10,"SC E3 2018 1"
"E3","SC","2018","Potentilla hippiana",1,5,5,"SC E3 2018 1"
"E3","SC","2018","Potentilla hippiana",2,5,1,"SC E3 2018 2"
"E3","SC","2021","Campanula rotundifolia",2,2,1,"SC E3 2021 2"
"E3","SC","2021","Cymopterus lemmonii",1,1,1,"SC E3 2021 1"
"E3","SC","2022","Eremogone fendleri",1,9,2,"SC E3 2022 1"
"E3","SC","2022","Erigeron tracyi",1,5,9,"SC E3 2022 1"
"E3","SC","2022","Potentilla hippiana",1,3,8,"SC E3 2022 1"
"E3","SM","2017","Cymopterus lemmonii",1,50,1,"SM E3 2017 1"
"E3","SM","2017","Erigeron flagellaris",1,50,52,"SM E3 2017 1"
"E3","SM","2018","Agastache pallidiflora neomexicana",1,10,6,"SM E3 2018 1"
"E3","SM","2018","Agastache pallidiflora neomexicana",2,50,1,"SM E3 2018 2"
"E3","SM","2018","Campanula rotundifolia",1,10,5,"SM E3 2018 1"
"E3","SM","2018","Erigeron divergens",1,5,1,"SM E3 2018 1"
"E3","SM","2018","Erigeron flagellaris",1,5,2,"SM E3 2018 1"
"E3","SM","2018","Erigeron tracyi",1,15,8,"SM E3 2018 1"
"E3","SM","2018","Hesperidanthus linearifolius",1,5,1,"SM E3 2018 1"
"E3","SM","2018","Heterotheca pumila",1,5,2,"SM E3 2018 1"
"E3","SM","2018","Ipomopsis aggregata",1,50,6,"SM E3 2018 1"
"E3","SM","2018","Ipomopsis aggregata",2,50,1,"SM E3 2018 2"
"E3","SM","2018","Mirabilis oblongifolia",1,5,1,"SM E3 2018 1"
"E3","SM","2018","Mirabilis oblongifolia",2,50,3,"SM E3 2018 2"
"E3","SM","2018","Potentilla hippiana",1,5,10,"SM E3 2018 1"
"E3","SM","2018","Viguiera multiflora",2,5,1,"SM E3 2018 2"
"E3","SM","2021","Potentilla hippiana",1,3,1,"SM E3 2021 1"
"E3","SM","2022","Potentilla hippiana",1,10,4,"SM E3 2022 1"
"E3","SS","2017","Hymenoxys hoopesii",1,50,6,"SS E3 2017 1"
"E3","UK","2017","Hymenoxys hoopesii",1,50,1,"UK E3 2017 1"
"E3","VC","2017","Allium geyeri",1,50,1,"VC E3 2017 1"
"E3","VC","2017","Erigeron formosissimus",1,5,3,"VC E3 2017 1"
"HN3","MM","2021","Erigeron flagellaris",2,11,5,"MM HN3 2021 2"
"HN3","MM","2021","Heterotheca pumila",2,5,2,"MM HN3 2021 2"
"MC1","MM","2021","Potentilla hippiana",2,3,2,"MM MC1 2021 2"
"ME1","CH","2012","Glandularia bipinnatifida",1,11,11,"CH ME1 2012 1"
"ME1","CH","2017","Penstemon barbatus",2,50,2,"CH ME1 2017 2"
"ME1","CH","2018","Cosmos parviflorus",2,5,1,"CH ME1 2018 2"
"ME1","CH","2018","Dalea polygonoides",2,50,5,"CH ME1 2018 2"
"ME1","CH","2018","Glandularia bipinnatifida",1,50,2,"CH ME1 2018 1"
"ME1","CH","2018","Glandularia bipinnatifida",2,50,2,"CH ME1 2018 2"
"ME1","CH","2018","Heliomeris multiflora",2,50,2,"CH ME1 2018 2"
"ME1","CH","2018","Houstonia wrightii",1,50,16,"CH ME1 2018 1"
"ME1","CH","2018","Lupinus palmeri",1,5,1,"CH ME1 2018 1"
"ME1","CH","2021","Cosmos parviflorus",1,30,9,"CH ME1 2021 1"
"ME1","CH","2021","Glandularia bipinnatifida",1,5,1,"CH ME1 2021 1"
"ME1","CH","2022","Cosmos parviflorus",1,3,5,"CH ME1 2022 1"
"ME1","CH","2022","Trifolium spp.",1,8,4,"CH ME1 2022 1"
"ME1","HM","2017","Achillea millefolium",3,50,1,"HM ME1 2017 3"
"ME1","HM","2017","Erigeron flagellaris",1,5,4,"HM ME1 2017 1"
"ME1","HM","2017","Erigeron flagellaris",2,10,7,"HM ME1 2017 2"
"ME1","HM","2017","Erigeron flagellaris",3,5,9,"HM ME1 2017 3"
"ME1","HM","2017","Hymenoxys hoopesii",1,50,2,"HM ME1 2017 1"
"ME1","HM","2017","Hymenoxys hoopesii",2,50,2,"HM ME1 2017 2"
"ME1","HM","2017","Hymenoxys hoopesii",3,50,1,"HM ME1 2017 3"
"ME1","HM","2018","Erigeron speciosus",1,5,1,"HM ME1 2018 1"
"ME1","HM","2018","Erigeron speciosus",2,5,3,"HM ME1 2018 2"
"ME1","HM","2018","Erigeron tracyi",1,50,14,"HM ME1 2018 1"
"ME1","HM","2018","Erigeron tracyi",2,5,4,"HM ME1 2018 2"
"ME1","HM","2018","Potentilla hippiana",1,5,2,"HM ME1 2018 1"
"ME1","HM","2018","Taraxacum officinale",2,5,2,"HM ME1 2018 2"
"ME1","HM","2021","Achillea millefolium",1,5,1,"HM ME1 2021 1"
"ME1","HM","2022","Cirsium parryi",1,10,2,"HM ME1 2022 1"
"ME1","HM","2022","Erigeron tracyi",1,60,60,"HM ME1 2022 1"
"ME1","JC","2012","Achillea millefolium",1,3,3,"JC ME1 2012 1"
"ME1","JC","2012","Campanula rotundifolia",1,1,1,"JC ME1 2012 1"
"ME1","JC","2017","Allium geyeri",2,5,1,"JC ME1 2017 2"
"ME1","JC","2017","Campanula rotundifolia",2,5,2,"JC ME1 2017 2"
"ME1","JC","2017","Campanula rotundifolia",3,5,7,"JC ME1 2017 3"
"ME1","JC","2017","Eremogone fendleri",2,50,9,"JC ME1 2017 2"
"ME1","JC","2017","Erigeron flagellaris",2,5,4,"JC ME1 2017 2"
"ME1","JC","2017","Potentilla hippiana",2,5,3,"JC ME1 2017 2"
"ME1","JC","2021","Achillea millefolium",2,4,2,"JC ME1 2021 2"
"ME1","JC","2021","Campanula rotundifolia",2,1,1,"JC ME1 2021 2"
"ME1","MM","2012","Androsace chamaejasme",1,13,13,"MM ME1 2012 1"
"ME1","MM","2012","Vicia pulchella",1,27,27,"MM ME1 2012 1"
"ME1","MM","2017","Campanula rotundifolia",2,5,4,"MM ME1 2017 2"
"ME1","MM","2017","Campanula rotundifolia",3,5,2,"MM ME1 2017 3"
"ME1","MM","2017","Cymopterus lemmonii",3,50,1,"MM ME1 2017 3"
"ME1","MM","2017","Erysimum capitatum",1,5,1,"MM ME1 2017 1"
"ME1","MM","2017","Potentilla hippiana",1,5,4,"MM ME1 2017 1"
"ME1","MM","2017","Potentilla hippiana",2,5,4,"MM ME1 2017 2"
"ME1","MM","2017","Potentilla hippiana",3,50,5,"MM ME1 2017 3"
"ME1","MM","2018","Commelina dianthifolia",2,5,2,"MM ME1 2018 2"
"ME1","MM","2018","Erigeron speciosus",1,5,1,"MM ME1 2018 1"
"ME1","MM","2018","Erigeron tracyi",1,50,14,"MM ME1 2018 1"
"ME1","MM","2018","Linum lewisii",2,50,1,"MM ME1 2018 2"
"ME1","MM","2018","Potentilla hippiana",1,55,22,"MM ME1 2018 1"
"ME1","MM","2018","Potentilla hippiana",2,5,1,"MM ME1 2018 2"
"ME1","MM","2021","Cymopterus lemmonii",2,40,2,"MM ME1 2021 2"
"ME1","MM","2021","Potentilla hippiana",1,18,6,"MM ME1 2021 1"
"ME1","MM","2022","Arenaria lanuginosa",1,5,3,"MM ME1 2022 1"
"ME1","MM","2022","Hymenopappus newberryi",1,4,6,"MM ME1 2022 1"
